Codigo y nombre de partida;Partida arancelaria;Kilos Brutos;Kilos Netos;Valor USD;Valor Local;Cantidad;Participación;Valor Unitario FOB;Peso Unitario;Kilos Brutos;Kilos Netos;Valor USD;Valor Local;Cantidad;Participación;Valor Unitario FOB;Peso Unitario;Variacion;Fila
3105200000;Abonos minerales o químicos con los tres elementos fertilizantes: nitrógeno, fósforo y potasio.;34621117,9;34554617,04;22955257,1;1,03E+11;34554617,04;49,12895845;0,664318087;0,664318087;32628437,72;32592839,4;29894077,03;1,19E+11;32592839,4;63,97945629;0,917197691;0,917197691;-23,21135362;1
3102600000;Sales dobles y mezclas entre si, de nitrato de calcio y de nitrato de amonio.;34181264;33832764;11447567,96;51990524517;33832764;24,5001434;0,338357456;0,338357456;36858840,81;36531900;14931282,32;61084326367;36531900;31,95600666;0,408719019;0,408719019;-23,33164885;2
3105909000;"Los demás abonos minerales o químicos, con dos o tres de los elementos fertilizantes: nitrógeno, fósforo y potasio; los demás abonos; productos de este capítulo en tabletas o formas similares o en en";13409170,68;13340903,35;5199450,94;23569464250;2,80E+14;11,12789145;1,86E-08;0,389737547;13657007,58;13586476,48;5451595,88;21830773207;13586476,48;11,66753334;0,401251633;0,401251633;-4,625158312;3
3105400000;Dihidrogenoortofosfato de amonio (fosfatomonoamónico), incluso mezclado con el hidrogenoortofosfato de diamonio (fosfato diamónico).;2015908,95;1999815,8;1619605,82;7056402678;1981915,8;3,466288645;0,817192042;0,8098775;552269,43;547208,6;545833,94;2171880449;547208,6;1,168196585;0,997487868;0,997487868;196,7213472;4
3105100000;Abonos y productos de este capítulo en tabletas o formas similares o en envases de peso bruto inferior o igual a 10 kg.;234005,23;224773,42;1142538,07;5185588498;219593,42;2,445265811;5,202970426;5,083065738;170502,63;164059,64;611789,69;2411609838;164059,64;1,309355418;3,729068831;3,729068831;86,75340377;5
3104202000;Con un contenido de potasio, superior o igual a 58,0% pero inferior o igual a 63,1% en peso, expresado en óxido de potasio;2600637,99;2596092;1123364,23;4790806793;2596092;2,404229861;0,432713567;0,432713567;;;;;;;;;100;6
3102909000;Los demás, abonos minerales o químicos nitrogenados, incluidas las mezclas no comprendidas en las subpartidas precedentes.;1531548,43;1515686,41;821956,04;3822745322;1515686,41;1,759154513;0,542299538;0,542299538;1225233,03;1216211,27;551131,33;2260389452;1216211,27;1,179534086;0,45315427;0,45315427;49,13977763;7
3103900000;Los demás abonos minerales o químicos fosfatados.;2435881,26;2435500;565779,73;2546415731;2435500;1,210884667;0,232305371;0,232305371;1435931,18;1435579,44;343448,11;1373677563;1435579,44;0,735049399;0,239240059;0,239240059;64,7351415;8
3101009000;"Los demás abonos de origen animal o vegetal, incluso mezclados entre sí o tratados químicamente; abonos procedentes de la mezcla o del tratamiento químico de productos de origen animal o vegetal.";603611,87;592941,16;532592,05;2334254298;592941,16;1,139856225;0,898220744;0,898220744;919502,75;897067,3;367971,19;1455763184;897067,3;0,78753382;0,410193516;0,410193516;44,73743175;9
3105600000;Abonos minerales o químicos con los dos elementos fertilizantes: fósforo y potasio.;163163,3;159706,91;423727,77;1863110311;159706,91;0,906864337;2,653158652;2,653158652;8440,83;8000;22628,22;88335508,9;8000;0,048429032;2,8285275;2,8285275;1772,563419;10
3105510000;Abonos  minerales  químicos  que contengan nitratos y fosfatos.;936865,78;934530,41;366491,02;1752817633;934530,41;0,784365952;0,392165965;0,392165965;365352,77;365000;237980;949823419;365000;0,509326011;0,652;0,652;54,00076477;11
3104901000;Sulfato de magnesio y potasio.;225262,11;224000;161142,91;731864268,1;224000;0,344878879;0,719387991;0,719387991;;;;;;;;;100;12
3105590000;Los demás abonos minerales  químicos con los dos elementos fertilizantes: nitrógeno y fósforo.;55065,02;53360,36;104610,29;474170852,3;5,60E+14;0,223887477;1,87E-10;1,96044948;90552,89;86097,66;156177,73;594828674;86097,66;0,334252375;1,813960217;1,813960217;-33,01843355;13
3102101000;Urea, incluso en disolución acuosa con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en peso (calidad fertilizante).;203739,03;202924,32;93222,4;388674566,2;3,20E+14;0,199515056;2,91E-10;0,459394911;17939,92;17850;13209;51581805,45;17850;0,028269969;0,74;0,74;605,7491105;14
3105902000;Los demás abonos minerales o químicos con los dos elementos fertilizantes: nitrógeno y potasio.;12253,17;11560,2;50241,69;210107824;11560,2;0,107527521;4,346091763;4,346091763;8843,89;8030;52053,44;198846361;8030;0,111405038;6,482371108;6,482371108;-3,480557673;15
3104209000;Los demás cloruros de potasio.;51801,83;50973,5;38130;180192631;50973,5;0,081606021;0,748035744;0,748035744;6784,53;6571,1;9834,45;37331745,51;6571,1;0,02104774;1,49662157;1,49662157;287,7186828;16
3102210000;Sulfato de amonio.;81044,55;80500;35452,69;148915602,9;80500;0,075876028;0,440406087;0,440406087;1000765;1000015;515005,15;2069974706;1000015;1,102216651;0,514997425;0,514997425;-93,11605136;17
3105300000;Hidrogenoortofosfato  de diamonio (fosfato diamónico);24313,17;24000;21903;88770094,69;24000;0,046876912;0,912625;0,912625;;;;;;;;;100;18
3102800000;Mezclas de urea con nitrato de amonio en disolucion acuosa o amoniacal.;420;400;9200;38140624;400;0,019689887;23;23;;;;;;;;;100;19
3103190000;Los demás superfosfatos;25370,37;25000;8350;39380914,5;25000;0,017870713;0,334;0,334;;;;;;;;;100;20
3102109000;Las demás ureas, incluso en disolución acuosa.;652,01;600;2400;11042760;600;0,005136492;4;4;51182,02;48369,7;52043,18;204079269,3;48369,7;0,11138308;1,075945892;1,075945892;-95,38844475;21
3104909000;Los demás abonos minerales o químicos potasicos.;375,71;366,1;1510;6657598;366,1;0,00323171;4,124556132;4,124556132;46362,52;44875,88;105290,26;420733360,3;44875,88;0,225342752;2,346255048;2,346255048;-98,56586925;22
